,Occupancy,Performance Metrics,Time,cpu_ratio,mem_fragmentation_ratio,mem_ratio,memtotal,memused,rejected_connections,swap_ratio,swaptotal,swapused,used_memory_human,used_memory_rss_human
0,0.05,SWAP,2021-06-15 17:38:38,0.02,0.83,0.2,125.56,25.22,0,0.05,122.07,5.92,9.33M,7.71M
1,0.2,MEM,2021-06-15 17:38:38,0.02,0.83,0.2,125.56,25.22,0,0.05,122.07,5.92,9.33M,7.71M
2,0.02,CPU,2021-06-15 17:38:38,0.02,0.83,0.2,125.56,25.22,0,0.05,122.07,5.92,9.33M,7.71M
3,0.83,Redis,2021-06-15 17:38:38,0.02,0.83,0.2,125.56,25.22,0,0.05,122.07,5.92,9.33M,7.71M
4,0.2,MEM,2021-06-15 17:38:39,0.02,0.85,0.2,125.56,25.25,0,0.05,122.07,5.92,9.07M,7.71M
5,0.02,CPU,2021-06-15 17:38:39,0.02,0.85,0.2,125.56,25.25,0,0.05,122.07,5.92,9.07M,7.71M
6,0.85,Redis,2021-06-15 17:38:39,0.02,0.85,0.2,125.56,25.25,0,0.05,122.07,5.92,9.07M,7.71M
7,0.05,SWAP,2021-06-15 17:38:39,0.02,0.85,0.2,125.56,25.25,0,0.05,122.07,5.92,9.07M,7.71M
11,0.02,CPU,2021-06-15 17:38:40,0.02,0.89,0.2,125.56,25.25,0,0.05,122.07,5.92,8.68M,7.72M
10,0.2,MEM,2021-06-15 17:38:40,0.02,0.89,0.2,125.56,25.25,0,0.05,122.07,5.92,8.68M,7.72M
8,0.89,Redis,2021-06-15 17:38:40,0.02,0.89,0.2,125.56,25.25,0,0.05,122.07,5.92,8.68M,7.72M
9,0.05,SWAP,2021-06-15 17:38:40,0.02,0.89,0.2,125.56,25.25,0,0.05,122.07,5.92,8.68M,7.72M
12,0.05,SWAP,2021-06-15 17:38:42,0.02,0.83,0.2,125.56,25.26,0,0.05,122.07,5.92,9.35M,7.72M
13,0.02,CPU,2021-06-15 17:38:42,0.02,0.83,0.2,125.56,25.26,0,0.05,122.07,5.92,9.35M,7.72M
14,0.83,Redis,2021-06-15 17:38:42,0.02,0.83,0.2,125.56,25.26,0,0.05,122.07,5.92,9.35M,7.72M
15,0.2,MEM,2021-06-15 17:38:42,0.02,0.83,0.2,125.56,25.26,0,0.05,122.07,5.92,9.35M,7.72M
16,0.2,MEM,2021-06-15 17:38:43,0.02,0.87,0.2,125.56,25.23,0,0.05,122.07,5.92,8.86M,7.72M
17,0.05,SWAP,2021-06-15 17:38:43,0.02,0.87,0.2,125.56,25.23,0,0.05,122.07,5.92,8.86M,7.72M
18,0.87,Redis,2021-06-15 17:38:43,0.02,0.87,0.2,125.56,25.23,0,0.05,122.07,5.92,8.86M,7.72M
19,0.02,CPU,2021-06-15 17:38:43,0.02,0.87,0.2,125.56,25.23,0,0.05,122.07,5.92,8.86M,7.72M
23,0.05,SWAP,2021-06-15 17:38:44,0.02,0.81,0.2,125.56,25.27,0,0.05,122.07,5.92,9.49M,7.72M
22,0.81,Redis,2021-06-15 17:38:44,0.02,0.81,0.2,125.56,25.27,0,0.05,122.07,5.92,9.49M,7.72M
21,0.2,MEM,2021-06-15 17:38:44,0.02,0.81,0.2,125.56,25.27,0,0.05,122.07,5.92,9.49M,7.72M
20,0.02,CPU,2021-06-15 17:38:44,0.02,0.81,0.2,125.56,25.27,0,0.05,122.07,5.92,9.49M,7.72M
24,0.82,Redis,2021-06-15 17:38:46,0.02,0.82,0.2,125.56,25.28,0,0.05,122.07,5.92,9.42M,7.72M
25,0.05,SWAP,2021-06-15 17:38:46,0.02,0.82,0.2,125.56,25.28,0,0.05,122.07,5.92,9.42M,7.72M
